视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,推荐理由,BV号
挑战花光领导的所有工资！,阮阮是个天才7,407418,12692,19645,66528,48086,1180,上海,1712736922,1484,6万点赞,BV1o1421m7Kn
我服了！小米SU7这续航也太……,大鹏快开车,854598,7783,7945,71613,41552,8726,北京,1712710800,716,6万点赞,BV1Mx421S71B
河南省歌是什么梗【梗指南】,梗指南,820934,1758,5179,66219,1185,6463,江西,1712721900,145,6万点赞,BV1ED421s7wD
夜班为什么不拔智齿,铁蛋王先生,1222064,988,6784,121045,1435,1342,山东,1712655866,127,百万播放,BV1pz421y74k
中考完我走出了课堂，想去看看真正的世界～,不吃葱不吃香菜__,2761907,699,64358,349847,12073,8816,浙江,1712396190,50,百万播放,BV17C41157GF
男子尾随中国游客回家，遭2名警员开4枪击毙！EP325,细细的蓝线11,692091,11469,5252,44674,1508,2285,山东,1712718000,865,,BV16z421y7HK
终于来了！DC《小丑2》首曝预告，Lady Gaga版哈莉·奎茵登场！,乌鸦预告片,790314,2056,8393,43671,3528,34419,四川,1712711523,145,3万分享,BV1xZ421i7i5
大学生第一次出国，弟弟：下次可以不和3个姐姐出门吗？,超Carry的柴西,370660,1632,4526,16726,6069,1107,上海,1712739600,597,,BV1am41167pK
加拿大小伙住南昌9㎡：月租350元，苦读《红楼梦》,一条视频,649493,2783,22801,111768,19068,11847,安徽,1712625041,255,10万点赞,BV17m421E7Rt
《吗 喽》,张狗蛋eR,815487,546,20247,53338,25572,24377,河南,1712633400,268,5万点赞,BV15p42197gG
⚡我 在 5:20 睡 觉 13:14 准 时 起⚡,Rocker飞鹰,564174,653,18934,58604,31125,2389,上海,1712556000,113,5万点赞,BV1kz421y73L
七 年 之 痒,盗月社食遇记,1042842,7671,13242,91471,76031,1332,上海,1712655161,1670,9万点赞,BV18m411679g
真 · 保时捷平替，小米SU7~！,键盘车神教,1004307,4990,6087,51090,22281,11844,北京,1712551055,573,5万点赞,BV1J1421m791
【何同学】不用电，你能把一张A4纸扔多远？,老师好我叫何同学,3254192,8863,34821,254251,93863,8026,浙江,1712490129,626,百万播放,BV1cm42177xT
【猫meme】被班主任以为我家没钱没权和同学霸凌我三年后，土豪外婆大闹校长办公室砸碎一地（中）,没作业了叫我,608261,2696,18111,62481,14779,2964,四川,1712664404,404,6万点赞,BV1jE421u76R
半夜擦玻璃竟目睹杀人案现场？！,中国BOY超级大猩猩,238663,4631,7530,37101,14135,400,上海,1712741400,1068,很多人点赞,BV19F4m1K7yd
偷的是我家啊！,凶鸭栗,2063819,713,24663,264197,9921,7579,河北,1712659154,83,百万播放,BV1Bm421779V
"当意大利老爸知道,即将有个中国外孙时,会是什么反应?",路卡和瑞丽,240180,4096,2226,33866,28790,212,浙江,1712739600,539,,BV1TM4m1Q7V1
自从有了小孩，我的疑问不断。,papi酱,1363980,644,6716,170377,11187,7247,北京,1712656873,104,百万播放,BV1vH4y1T7Nd
早起整点包子面条流心蛋，吃完就晕碳！,小紧张的虫虫,285504,740,1532,22634,2903,467,浙江,1712742546,445,,BV14M4m197TV
阿奇误打误撞，竟然成功搞定了锅巴的配方,卡奇食品旗舰店,426442,91,2081,51402,712,157,浙江,1712571454,94,,BV14x4y1Y7Xs
我在韩国花7000租到了韩剧里韩国财阀的家,知名相声演员BBBBB大王,1098891,6912,9373,92422,30932,2815,韩国,1712664000,612,9万点赞,BV1EF4m1T78N
“我在5:20睡觉，下课铃响准时醒”,纽毕斯,1288049,621,52021,170850,76304,14981,山东,1712549100,104,百万播放,BV1ZF4m1K7qo
周杰伦全专辑精选无损音乐歌曲  Flac无损封装歌词版纯享【戴上耳机体验更佳】,故事的小黄瓜丶丶,108853,178,11473,6432,5583,522,广东,1712311235,32782,,BV1Zx421Q7au
