视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
海底捞最强省钱王牌！顶级的自制0元炸串！ 报告！这里是美食建筑学优秀毕业生！,星河对长,1295819,226,17037,111107,848,2018,广东,1712723604,122,BV1ZC411V7J8
我服了！小米SU7这续航也太……,大鹏快开车,1765270,11017,14763,111700,62216,12477,北京,1712710800,716,BV1Mx421S71B
水管一分为二也能凌空接住水流？神奇现象到底是真是假？,萌萌战队,2294037,1815,6517,75331,2246,471,陕西,1712750400,294,BV1Km42177kz
中国小伙在阿富汗持续多日清空馕店，每天1000个馕分享给贫困的人们，慷慨解囊,老许游记,1218078,3737,6726,87449,82216,1127,阿富汗,1712620500,527,BV1Dm42177dg
《绝命毒师》原版团队，居然拍了一部《暗黑》？！硬核科幻美剧《群星》上,小片片说大片,862516,3321,12702,54905,20074,1897,北京,1712831614,2983,BV1qA4m1F7xx
Real shit Steven.,RyanGG24,737932,706,29368,146340,4280,7053,广东,1712726726,27,BV1uE42137eq
全新超市捉迷藏！谁才是真正的大侦探？,中国BOY超级大猩猩,641700,3299,13408,86980,28665,2915,上海,1712979300,626,BV1bA4m1c7F1
狠狠教训这些浪费食物的网红,女王厨房Surthycooks,1275469,598,13130,232246,21909,330,福建,1712929694,62,BV1Sr421V7tZ
美食博主特种兵旅行之武汉一日吃！吃到晕碳根本吃不够！,神奇海挪,1715400,2376,11114,53859,5068,5103,浙江,1712754250,447,BV1HD421s7kH
全国景区免费畅玩，原来这么简单？看看你能背几首吧！,宝儿姐__-,1988081,79,168283,24144,5175,212,山西,1712669471,66,BV1yp42197jG
【逆水寒x杨丽萍】春日浪漫雀恋和鸣，江湖再现最美舞台《雀之恋》,舞蹈家杨丽萍,980084,940,18035,30645,17001,5945,湖北,1712808000,286,BV1d1421m7DE
我送朋友去二次元,良心发作的chunchun,594371,1971,13991,64045,25048,2236,四川,1712894700,518,BV1Nm41167XN
【鬼谷闲谈】穿山甲：身在兽营心向龙,芳斯塔芙,677253,3515,11576,68718,17174,957,上海,1712912726,835,BV1Fx4y1a7gM
男子尾随中国游客回家，遭2名警员开4枪击毙！EP325,细细的蓝线11,1650259,22074,11724,100290,3242,4914,山东,1712718000,865,BV16z421y7HK
《嫁给鸽子的使用说明》,不知名鸽子-,527254,50,31684,152200,4534,3347,广东,1712747550,27,BV1SF4m1K7SV
人生靠疯，靠孤注一掷,你的陈星越,817471,271,12061,127151,12380,1254,上海,1712741251,112,BV15D421s7PG
【原神HoYoFair】预告 - 等级不是问题,No_Tables,644798,357,30148,143045,6372,4469,马来西亚,1712741618,14,BV1TE421u7Ay
《明日方舟》EP - ONE BY ONE,明日方舟,559542,1823,12058,58352,15327,3807,上海,1712804727,230,BV17M4m197Yy
花9亿把黄河引到沙漠里，是超级工程，还是劳民伤财？,X情报社,1059799,3151,13559,147220,6259,2789,北京,1712568225,276,BV1pM4m1Q727
低消费过诗意生活，我爸妈简直是模版,小暖的养老生活,567485,598,20834,65609,5202,17325,北京,1712730346,219,BV1Kz42117qq
版本弃子，被虚空占模的速度型战士,门不出人不见,841798,1621,8477,76819,2715,2012,安徽,1712885400,523,BV1hz421y7Vg
那些好玩的动物视频！,蒙哥马利愛学习,1167453,877,4192,88724,1115,378,河南,1712923434,368,BV1jp421X7EP
