视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
俺娘居然会唱5:20AM？？？？？？？？？？？？？？？？？？？？？？？,拯救世界的狗子,378316,166,3001,11002,856,270,江苏,1712635500,153,BV1pC411G7Mi
北方梆笛一响，鸡皮疙瘩都起来了！,罗小罗笛箫,1008928,681,34248,169589,13731,1596,浙江,1711775835,54,BV1zK421a72k
盘点2024爆火热梗小曲，你是不是也刷到过却不知道歌名？,全球音乐榜单,14395055,5488,1016981,358537,66215,3398,山东,1708680040,147,BV1su4m1N7AC
今天练孤独摇滚系列～,肚肚琴-,175719,125,6353,20018,1286,3158,湖北,1712752890,32,BV121421m7uA
一口气带你听完这9位过气女歌手的神级之作，哪一位才是属于你的青春,芊芊经典老歌,320323,1437,4517,14329,1103,240,河南,1712545736,358,BV1EM4m1Q7LX
Knowknow联手诺米！《想带你去迪士尼》发布！,嘻笑堂,429750,552,3304,12979,648,8457,陕西,1712680781,153,BV16z421k7Fa
思念是温情的等待，陪伴是最长情的告白,不过是风大点,234370,0,61702,5915,1200,6,河南,1711517807,408,BV1Bm411k7EW
“我已经忘却了我当初的样子”,M糖了,469833,234,102212,13354,2415,95,广东,1711293407,231,BV1nZ421t7s5
循环日推丨“匆匆忙忙地在行程里睡了又醒  飘忽不定.” 《你是我的风景》无损音质,稻谷黄,650488,24,84165,10620,2641,8,四川,1711974320,3688,BV1px421D7mp
【合唱】One Last Kiss【20人】（纯人声）,失心丿少年,221843,82,20599,52073,7091,2246,浙江,1712376300,218,BV1nz421y7Fy
嬛嬛，这首以朕之名送给你～,奶茶小肥仔,185767,239,1723,31534,7402,2586,河南,1712928943,72,BV1ot421J71B
《一周的日记》EP04-SNH48王奕&周诗雨【直到世界尽头】,SNH48官方账号,119054,13025,1338,12809,12020,754,上海,1712808000,2617,BV1FC41157Zf
《想带你去迪士尼》,KnowKnow,361637,488,2289,16298,3005,8893,四川,1712678437,153,BV16x421U7SN
《唯一》我真的爱你，没人能比拟。,九三的耳朵不是特别好,151696,253,2866,11163,4531,513,云南,1712895004,222,BV1bi421f786
